product_id,product_name,category,price,description,rating,image_url
1,Tablet Max,Electronics,287.75,Large screen tablet for entertainment and work,4.7,https://loremflickr.com/200/200/electronics
2,Microwave Oven,Home Appliances,194.02,Convection microwave oven with grill feature,4.4,https://loremflickr.com/200/200/home-appliance
3,Self-help Guide,Books,548.36,Improve your life with practical advice,4.4,https://loremflickr.com/200/200/books
4,Jeans,Clothing,347.98,Comfortable and durable denim jeans,4.0,https://loremflickr.com/200/200/clothing
5,Dollhouse,Toys,951.67,Detailed dollhouse with accessories,4.2,https://loremflickr.com/200/200/toys
6,Football,Sports,358.12,Official size football for matches,4.2,https://loremflickr.com/200/200/sports
7,Makeup Kit,Beauty,94.54,Complete set for a perfect look,4.7,https://loremflickr.com/200/200/beauty
8,Smartphone X,Electronics,136.33,Latest smartphone with advanced camera,4.5,https://loremflickr.com/200/200/electronics
9,Air Conditioner,Home Appliances,401.84,Energy-efficient air conditioner with remote control,3.6,https://loremflickr.com/200/200/home-appliance
10,Thriller Novel,Books,989.84,A suspenseful thriller that keeps you on edge,4.0,https://loremflickr.com/200/200/books
11,T-Shirt,Clothing,229.22,Casual cotton t-shirt with cool prints,4.6,https://loremflickr.com/200/200/clothing
12,Remote Car,Toys,595.51,High-speed remote-controlled car,4.9,https://loremflickr.com/200/200/toys
13,Dumbbells,Sports,773.31,Adjustable dumbbells for home workouts,4.1,https://loremflickr.com/200/200/sports
14,Face Cream,Beauty,55.52,Moisturizing cream for glowing skin,4.2,https://loremflickr.com/200/200/beauty
15,Tablet Max,Electronics,938.63,Large screen tablet for entertainment and work,4.4,https://loremflickr.com/200/200/electronics
16,Microwave Oven,Home Appliances,463.78,Convection microwave oven with grill feature,3.6,https://loremflickr.com/200/200/home-appliance
17,Science Fiction,Books,465.79,Explore futuristic worlds and alien civilizations,4.2,https://loremflickr.com/200/200/books
18,Men's Jacket,Clothing,926.67,Warm and stylish jacket for men,3.6,https://loremflickr.com/200/200/clothing
19,Remote Car,Toys,538.78,High-speed remote-controlled car,3.6,https://loremflickr.com/200/200/toys
20,Tennis Racket,Sports,994.16,Lightweight and durable racket,3.5,https://loremflickr.com/200/200/sports
21,Face Cream,Beauty,137.78,Moisturizing cream for glowing skin,4.2,https://loremflickr.com/200/200/beauty
22,Smartphone X,Electronics,578.46,Latest smartphone with advanced camera,4.5,https://loremflickr.com/200/200/electronics
23,Air Conditioner,Home Appliances,273.95,Energy-efficient air conditioner with remote control,3.5,https://loremflickr.com/200/200/home-appliance
24,Historical Biography,Books,490.73,Inspiring stories from the past,4.0,https://loremflickr.com/200/200/books
25,Men's Jacket,Clothing,736.34,Warm and stylish jacket for men,4.0,https://loremflickr.com/200/200/clothing
26,Building Blocks,Toys,264.64,Colorful building blocks for creativity,4.3,https://loremflickr.com/200/200/toys
27,Dumbbells,Sports,970.99,Adjustable dumbbells for home workouts,4.7,https://loremflickr.com/200/200/sports
28,Makeup Kit,Beauty,330.2,Complete set for a perfect look,3.8,https://loremflickr.com/200/200/beauty
29,Smartphone X,Electronics,59.63,Latest smartphone with advanced camera,3.9,https://loremflickr.com/200/200/electronics
30,Washing Machine,Home Appliances,817.97,Front-load washing machine with smart features,4.1,https://loremflickr.com/200/200/home-appliance
31,Science Fiction,Books,47.6,Explore futuristic worlds and alien civilizations,3.8,https://loremflickr.com/200/200/books
32,Women's Dress,Clothing,238.12,Elegant dress perfect for any occasion,4.3,https://loremflickr.com/200/200/clothing
33,Action Figure,Toys,712.83,Popular superhero action figure,4.3,https://loremflickr.com/200/200/toys
34,Tennis Racket,Sports,882.93,Lightweight and durable racket,4.6,https://loremflickr.com/200/200/sports
35,Hair Dryer,Beauty,440.35,Quick-dry with heat protection,4.1,https://loremflickr.com/200/200/beauty
36,Wireless Earbuds,Electronics,135.93,True wireless earbuds with noise cancellation,4.9,https://loremflickr.com/200/200/electronics
37,Washing Machine,Home Appliances,510.32,Front-load washing machine with smart features,4.9,https://loremflickr.com/200/200/home-appliance
38,Thriller Novel,Books,470.93,A suspenseful thriller that keeps you on edge,4.8,https://loremflickr.com/200/200/books
39,Sneakers,Clothing,881.09,Trendy and comfortable footwear,3.9,https://loremflickr.com/200/200/clothing
40,Dollhouse,Toys,12.48,Detailed dollhouse with accessories,4.6,https://loremflickr.com/200/200/toys
41,Yoga Mat,Sports,98.04,Non-slip yoga mat with extra cushioning,3.7,https://loremflickr.com/200/200/sports
42,Lipstick Set,Beauty,529.63,Vibrant colors for all occasions,4.1,https://loremflickr.com/200/200/beauty
43,Wireless Earbuds,Electronics,401.94,True wireless earbuds with noise cancellation,3.7,https://loremflickr.com/200/200/electronics
44,Microwave Oven,Home Appliances,481.96,Convection microwave oven with grill feature,4.1,https://loremflickr.com/200/200/home-appliance
45,Cookbook,Books,434.03,Delicious recipes from around the world,3.8,https://loremflickr.com/200/200/books
46,Women's Dress,Clothing,668.66,Elegant dress perfect for any occasion,4.4,https://loremflickr.com/200/200/clothing
47,Dollhouse,Toys,763.78,Detailed dollhouse with accessories,4.3,https://loremflickr.com/200/200/toys
48,Basketball,Sports,642.9,High-quality basketball for indoor/outdoor use,4.9,https://loremflickr.com/200/200/sports
49,Hair Dryer,Beauty,194.23,Quick-dry with heat protection,4.5,https://loremflickr.com/200/200/beauty
50,Laptop Pro,Electronics,638.55,High-performance laptop for professionals,4.9,https://loremflickr.com/200/200/electronics
51,Washing Machine,Home Appliances,973.53,Front-load washing machine with smart features,4.9,https://loremflickr.com/200/200/home-appliance
52,Historical Biography,Books,669.02,Inspiring stories from the past,3.7,https://loremflickr.com/200/200/books
53,Men's Jacket,Clothing,90.27,Warm and stylish jacket for men,4.6,https://loremflickr.com/200/200/clothing
54,Action Figure,Toys,944.96,Popular superhero action figure,3.7,https://loremflickr.com/200/200/toys
55,Tennis Racket,Sports,809.14,Lightweight and durable racket,4.4,https://loremflickr.com/200/200/sports
56,Face Cream,Beauty,76.1,Moisturizing cream for glowing skin,3.8,https://loremflickr.com/200/200/beauty
57,Smartphone X,Electronics,752.07,Latest smartphone with advanced camera,4.3,https://loremflickr.com/200/200/electronics
58,Refrigerator,Home Appliances,897.77,Double-door fridge with large freezer capacity,3.9,https://loremflickr.com/200/200/home-appliance
59,Science Fiction,Books,573.32,Explore futuristic worlds and alien civilizations,4.5,https://loremflickr.com/200/200/books
60,Sneakers,Clothing,338.94,Trendy and comfortable footwear,3.6,https://loremflickr.com/200/200/clothing
61,Building Blocks,Toys,334.82,Colorful building blocks for creativity,3.7,https://loremflickr.com/200/200/toys
62,Yoga Mat,Sports,227.62,Non-slip yoga mat with extra cushioning,4.0,https://loremflickr.com/200/200/sports
63,Makeup Kit,Beauty,228.28,Complete set for a perfect look,4.3,https://loremflickr.com/200/200/beauty
64,Smartphone X,Electronics,725.43,Latest smartphone with advanced camera,4.1,https://loremflickr.com/200/200/electronics
65,Air Conditioner,Home Appliances,642.23,Energy-efficient air conditioner with remote control,3.8,https://loremflickr.com/200/200/home-appliance
66,Cookbook,Books,603.81,Delicious recipes from around the world,4.3,https://loremflickr.com/200/200/books
67,Women's Dress,Clothing,759.1,Elegant dress perfect for any occasion,3.7,https://loremflickr.com/200/200/clothing
68,Remote Car,Toys,307.49,High-speed remote-controlled car,4.1,https://loremflickr.com/200/200/toys
69,Dumbbells,Sports,17.48,Adjustable dumbbells for home workouts,4.7,https://loremflickr.com/200/200/sports
70,Makeup Kit,Beauty,28.37,Complete set for a perfect look,3.9,https://loremflickr.com/200/200/beauty
71,Wireless Earbuds,Electronics,874.27,True wireless earbuds with noise cancellation,4.2,https://loremflickr.com/200/200/electronics
72,Air Conditioner,Home Appliances,948.18,Energy-efficient air conditioner with remote control,5.0,https://loremflickr.com/200/200/home-appliance
73,Thriller Novel,Books,299.5,A suspenseful thriller that keeps you on edge,3.6,https://loremflickr.com/200/200/books
74,Jeans,Clothing,724.4,Comfortable and durable denim jeans,4.1,https://loremflickr.com/200/200/clothing
75,Action Figure,Toys,620.3,Popular superhero action figure,4.5,https://loremflickr.com/200/200/toys
76,Football,Sports,680.81,Official size football for matches,3.5,https://loremflickr.com/200/200/sports
77,Makeup Kit,Beauty,306.37,Complete set for a perfect look,4.6,https://loremflickr.com/200/200/beauty
78,Laptop Pro,Electronics,724.44,High-performance laptop for professionals,4.5,https://loremflickr.com/200/200/electronics
79,Vacuum Cleaner,Home Appliances,668.85,Bagless vacuum cleaner with strong suction,4.8,https://loremflickr.com/200/200/home-appliance
80,Science Fiction,Books,516.22,Explore futuristic worlds and alien civilizations,4.8,https://loremflickr.com/200/200/books
81,Men's Jacket,Clothing,766.68,Warm and stylish jacket for men,4.7,https://loremflickr.com/200/200/clothing
82,Dollhouse,Toys,47.79,Detailed dollhouse with accessories,3.8,https://loremflickr.com/200/200/toys
83,Tennis Racket,Sports,860.19,Lightweight and durable racket,5.0,https://loremflickr.com/200/200/sports
84,Makeup Kit,Beauty,45.98,Complete set for a perfect look,3.6,https://loremflickr.com/200/200/beauty
85,Smartwatch Z,Electronics,190.95,Fitness tracking and notifications on your wrist,3.9,https://loremflickr.com/200/200/electronics
86,Microwave Oven,Home Appliances,546.48,Convection microwave oven with grill feature,3.7,https://loremflickr.com/200/200/home-appliance
87,Thriller Novel,Books,325.59,A suspenseful thriller that keeps you on edge,4.0,https://loremflickr.com/200/200/books
88,Men's Jacket,Clothing,281.47,Warm and stylish jacket for men,4.3,https://loremflickr.com/200/200/clothing
89,Action Figure,Toys,519.94,Popular superhero action figure,3.8,https://loremflickr.com/200/200/toys
90,Football,Sports,493.74,Official size football for matches,3.9,https://loremflickr.com/200/200/sports
91,Makeup Kit,Beauty,101.41,Complete set for a perfect look,3.9,https://loremflickr.com/200/200/beauty
92,Smartwatch Z,Electronics,352.25,Fitness tracking and notifications on your wrist,4.0,https://loremflickr.com/200/200/electronics
93,Vacuum Cleaner,Home Appliances,784.76,Bagless vacuum cleaner with strong suction,3.9,https://loremflickr.com/200/200/home-appliance
94,Self-help Guide,Books,425.82,Improve your life with practical advice,4.5,https://loremflickr.com/200/200/books
95,Jeans,Clothing,558.91,Comfortable and durable denim jeans,4.5,https://loremflickr.com/200/200/clothing
96,Dollhouse,Toys,527.24,Detailed dollhouse with accessories,3.9,https://loremflickr.com/200/200/toys
97,Dumbbells,Sports,802.36,Adjustable dumbbells for home workouts,4.5,https://loremflickr.com/200/200/sports
98,Hair Dryer,Beauty,592.01,Quick-dry with heat protection,3.6,https://loremflickr.com/200/200/beauty
99,Smartphone X,Electronics,692.79,Latest smartphone with advanced camera,4.0,https://loremflickr.com/200/200/electronics
100,Refrigerator,Home Appliances,49.3,Double-door fridge with large freezer capacity,4.9,https://loremflickr.com/200/200/home-appliance
101,Thriller Novel,Books,619.55,A suspenseful thriller that keeps you on edge,3.7,https://loremflickr.com/200/200/books
102,Jeans,Clothing,729.53,Comfortable and durable denim jeans,4.1,https://loremflickr.com/200/200/clothing
103,Building Blocks,Toys,567.12,Colorful building blocks for creativity,3.6,https://loremflickr.com/200/200/toys
104,Basketball,Sports,702.62,High-quality basketball for indoor/outdoor use,4.7,https://loremflickr.com/200/200/sports
105,Face Cream,Beauty,180.34,Moisturizing cream for glowing skin,3.8,https://loremflickr.com/200/200/beauty
106,Laptop Pro,Electronics,13.09,High-performance laptop for professionals,4.4,https://loremflickr.com/200/200/electronics
107,Vacuum Cleaner,Home Appliances,893.67,Bagless vacuum cleaner with strong suction,4.5,https://loremflickr.com/200/200/home-appliance
108,Science Fiction,Books,930.86,Explore futuristic worlds and alien civilizations,5.0,https://loremflickr.com/200/200/books
109,Men's Jacket,Clothing,221.3,Warm and stylish jacket for men,3.9,https://loremflickr.com/200/200/clothing
110,Building Blocks,Toys,694.81,Colorful building blocks for creativity,4.6,https://loremflickr.com/200/200/toys
111,Basketball,Sports,21.97,High-quality basketball for indoor/outdoor use,4.5,https://loremflickr.com/200/200/sports
112,Hair Dryer,Beauty,87.66,Quick-dry with heat protection,4.4,https://loremflickr.com/200/200/beauty
113,Smartphone X,Electronics,859.03,Latest smartphone with advanced camera,3.7,https://loremflickr.com/200/200/electronics
114,Vacuum Cleaner,Home Appliances,703.67,Bagless vacuum cleaner with strong suction,3.6,https://loremflickr.com/200/200/home-appliance
115,Cookbook,Books,14.54,Delicious recipes from around the world,4.0,https://loremflickr.com/200/200/books
116,Jeans,Clothing,574.44,Comfortable and durable denim jeans,4.5,https://loremflickr.com/200/200/clothing
117,Action Figure,Toys,265.27,Popular superhero action figure,4.3,https://loremflickr.com/200/200/toys
118,Dumbbells,Sports,615.81,Adjustable dumbbells for home workouts,3.7,https://loremflickr.com/200/200/sports
119,Face Cream,Beauty,569.75,Moisturizing cream for glowing skin,3.6,https://loremflickr.com/200/200/beauty
120,Wireless Earbuds,Electronics,143.67,True wireless earbuds with noise cancellation,4.4,https://loremflickr.com/200/200/electronics
121,Refrigerator,Home Appliances,532.4,Double-door fridge with large freezer capacity,4.8,https://loremflickr.com/200/200/home-appliance
122,Cookbook,Books,465.71,Delicious recipes from around the world,4.9,https://loremflickr.com/200/200/books
123,Sneakers,Clothing,572.85,Trendy and comfortable footwear,4.1,https://loremflickr.com/200/200/clothing
124,Remote Car,Toys,111.29,High-speed remote-controlled car,3.7,https://loremflickr.com/200/200/toys
125,Football,Sports,900.29,Official size football for matches,3.6,https://loremflickr.com/200/200/sports
126,Face Cream,Beauty,965.53,Moisturizing cream for glowing skin,3.8,https://loremflickr.com/200/200/beauty
127,Smartwatch Z,Electronics,890.05,Fitness tracking and notifications on your wrist,4.5,https://loremflickr.com/200/200/electronics
128,Washing Machine,Home Appliances,889.96,Front-load washing machine with smart features,4.1,https://loremflickr.com/200/200/home-appliance
129,Science Fiction,Books,898.08,Explore futuristic worlds and alien civilizations,4.0,https://loremflickr.com/200/200/books
130,Jeans,Clothing,760.08,Comfortable and durable denim jeans,4.9,https://loremflickr.com/200/200/clothing
131,Building Blocks,Toys,512.19,Colorful building blocks for creativity,3.7,https://loremflickr.com/200/200/toys
132,Tennis Racket,Sports,762.71,Lightweight and durable racket,3.9,https://loremflickr.com/200/200/sports
133,Hair Dryer,Beauty,796.65,Quick-dry with heat protection,4.1,https://loremflickr.com/200/200/beauty
134,Tablet Max,Electronics,736.44,Large screen tablet for entertainment and work,4.8,https://loremflickr.com/200/200/electronics
135,Washing Machine,Home Appliances,438.07,Front-load washing machine with smart features,4.7,https://loremflickr.com/200/200/home-appliance
136,Historical Biography,Books,68.5,Inspiring stories from the past,3.7,https://loremflickr.com/200/200/books
137,Sneakers,Clothing,955.91,Trendy and comfortable footwear,4.6,https://loremflickr.com/200/200/clothing
138,Puzzle Game,Toys,828.29,Challenging puzzle for all ages,4.5,https://loremflickr.com/200/200/toys
139,Dumbbells,Sports,369.99,Adjustable dumbbells for home workouts,4.0,https://loremflickr.com/200/200/sports
140,Makeup Kit,Beauty,831.84,Complete set for a perfect look,3.8,https://loremflickr.com/200/200/beauty
141,Laptop Pro,Electronics,263.84,High-performance laptop for professionals,4.3,https://loremflickr.com/200/200/electronics
142,Air Conditioner,Home Appliances,310.62,Energy-efficient air conditioner with remote control,3.7,https://loremflickr.com/200/200/home-appliance
143,Self-help Guide,Books,902.77,Improve your life with practical advice,4.1,https://loremflickr.com/200/200/books
144,Women's Dress,Clothing,965.64,Elegant dress perfect for any occasion,3.9,https://loremflickr.com/200/200/clothing
145,Remote Car,Toys,934.95,High-speed remote-controlled car,3.7,https://loremflickr.com/200/200/toys
146,Dumbbells,Sports,724.34,Adjustable dumbbells for home workouts,3.9,https://loremflickr.com/200/200/sports
147,Makeup Kit,Beauty,382.04,Complete set for a perfect look,4.9,https://loremflickr.com/200/200/beauty
148,Laptop Pro,Electronics,429.82,High-performance laptop for professionals,3.7,https://loremflickr.com/200/200/electronics
149,Refrigerator,Home Appliances,911.39,Double-door fridge with large freezer capacity,3.9,https://loremflickr.com/200/200/home-appliance
150,Thriller Novel,Books,603.84,A suspenseful thriller that keeps you on edge,4.1,https://loremflickr.com/200/200/books
151,Women's Dress,Clothing,114.67,Elegant dress perfect for any occasion,3.7,https://loremflickr.com/200/200/clothing
152,Action Figure,Toys,704.58,Popular superhero action figure,3.9,https://loremflickr.com/200/200/toys
153,Dumbbells,Sports,349.21,Adjustable dumbbells for home workouts,4.0,https://loremflickr.com/200/200/sports
154,Makeup Kit,Beauty,503.49,Complete set for a perfect look,3.5,https://loremflickr.com/200/200/beauty
155,Laptop Pro,Electronics,133.37,High-performance laptop for professionals,4.3,https://loremflickr.com/200/200/electronics
156,Washing Machine,Home Appliances,447.34,Front-load washing machine with smart features,3.6,https://loremflickr.com/200/200/home-appliance
157,Self-help Guide,Books,256.55,Improve your life with practical advice,3.8,https://loremflickr.com/200/200/books
158,Jeans,Clothing,345.41,Comfortable and durable denim jeans,4.4,https://loremflickr.com/200/200/clothing
159,Action Figure,Toys,13.2,Popular superhero action figure,4.2,https://loremflickr.com/200/200/toys
160,Yoga Mat,Sports,834.07,Non-slip yoga mat with extra cushioning,4.1,https://loremflickr.com/200/200/sports
161,Perfume,Beauty,398.51,Long-lasting fragrance,4.0,https://loremflickr.com/200/200/beauty
162,Smartphone X,Electronics,955.17,Latest smartphone with advanced camera,3.9,https://loremflickr.com/200/200/electronics
163,Washing Machine,Home Appliances,603.85,Front-load washing machine with smart features,4.1,https://loremflickr.com/200/200/home-appliance
164,Self-help Guide,Books,264.09,Improve your life with practical advice,4.4,https://loremflickr.com/200/200/books
165,Men's Jacket,Clothing,82.67,Warm and stylish jacket for men,3.5,https://loremflickr.com/200/200/clothing
166,Building Blocks,Toys,18.76,Colorful building blocks for creativity,4.6,https://loremflickr.com/200/200/toys
167,Football,Sports,688.99,Official size football for matches,4.8,https://loremflickr.com/200/200/sports
168,Face Cream,Beauty,323.41,Moisturizing cream for glowing skin,4.6,https://loremflickr.com/200/200/beauty
169,Smartphone X,Electronics,729.57,Latest smartphone with advanced camera,4.2,https://loremflickr.com/200/200/electronics
170,Vacuum Cleaner,Home Appliances,836.27,Bagless vacuum cleaner with strong suction,4.7,https://loremflickr.com/200/200/home-appliance
171,Historical Biography,Books,519.47,Inspiring stories from the past,4.4,https://loremflickr.com/200/200/books
172,Sneakers,Clothing,232.38,Trendy and comfortable footwear,4.3,https://loremflickr.com/200/200/clothing
173,Action Figure,Toys,367.76,Popular superhero action figure,4.1,https://loremflickr.com/200/200/toys
174,Tennis Racket,Sports,166.32,Lightweight and durable racket,3.7,https://loremflickr.com/200/200/sports
175,Hair Dryer,Beauty,600.02,Quick-dry with heat protection,4.3,https://loremflickr.com/200/200/beauty
176,Wireless Earbuds,Electronics,257.05,True wireless earbuds with noise cancellation,3.7,https://loremflickr.com/200/200/electronics
177,Washing Machine,Home Appliances,738.97,Front-load washing machine with smart features,4.2,https://loremflickr.com/200/200/home-appliance
178,Science Fiction,Books,147.95,Explore futuristic worlds and alien civilizations,4.9,https://loremflickr.com/200/200/books
179,Jeans,Clothing,120.88,Comfortable and durable denim jeans,4.2,https://loremflickr.com/200/200/clothing
180,Puzzle Game,Toys,254.43,Challenging puzzle for all ages,3.9,https://loremflickr.com/200/200/toys
181,Yoga Mat,Sports,331.61,Non-slip yoga mat with extra cushioning,4.8,https://loremflickr.com/200/200/sports
182,Lipstick Set,Beauty,84.25,Vibrant colors for all occasions,3.8,https://loremflickr.com/200/200/beauty
183,Wireless Earbuds,Electronics,592.17,True wireless earbuds with noise cancellation,3.6,https://loremflickr.com/200/200/electronics
184,Refrigerator,Home Appliances,484.29,Double-door fridge with large freezer capacity,3.6,https://loremflickr.com/200/200/home-appliance
185,Cookbook,Books,391.43,Delicious recipes from around the world,3.5,https://loremflickr.com/200/200/books
186,Jeans,Clothing,541.99,Comfortable and durable denim jeans,4.9,https://loremflickr.com/200/200/clothing
187,Action Figure,Toys,259.44,Popular superhero action figure,3.9,https://loremflickr.com/200/200/toys
188,Football,Sports,357.83,Official size football for matches,4.5,https://loremflickr.com/200/200/sports
189,Lipstick Set,Beauty,595.15,Vibrant colors for all occasions,3.9,https://loremflickr.com/200/200/beauty
190,Smartwatch Z,Electronics,488.4,Fitness tracking and notifications on your wrist,4.8,https://loremflickr.com/200/200/electronics
191,Microwave Oven,Home Appliances,537.95,Convection microwave oven with grill feature,4.1,https://loremflickr.com/200/200/home-appliance
192,Cookbook,Books,93.45,Delicious recipes from around the world,4.6,https://loremflickr.com/200/200/books
193,Men's Jacket,Clothing,264.81,Warm and stylish jacket for men,3.5,https://loremflickr.com/200/200/clothing
194,Remote Car,Toys,605.19,High-speed remote-controlled car,4.1,https://loremflickr.com/200/200/toys
195,Yoga Mat,Sports,213.68,Non-slip yoga mat with extra cushioning,4.3,https://loremflickr.com/200/200/sports
196,Hair Dryer,Beauty,551.24,Quick-dry with heat protection,5.0,https://loremflickr.com/200/200/beauty
